,no_faces,Angle1,Angle2,cnt_inner,cnt_outer,Phone_detected
167,1,-4,40,0,0,0
168,1,-3,36,0,0,0
169,1,1,30,0,0,0
170,1,0,42,0,0,0
171,1,-8,36,0,0,0
172,1,-1,32,0,0,0
173,1,-3,38,0,0,0
174,1,0,51,0,0,0
175,1,0,50,0,0,0
176,1,0,47,0,0,0
177,1,-1,39,0,0,0
178,1,5,53,0,0,0
179,1,4,46,0,0,0
180,1,0,42,0,0,0
181,1,2,41,0,0,0
182,1,3,41,1,0,0
183,1,-5,37,3,5,0
184,1,13,-30,3,5,0
185,1,1,-24,3,5,0
186,1,68,0,0,0,0
187,1,11,-25,0,0,0
188,1,30,-19,0,0,0
189,1,-11,39,0,5,0
190,1,-11,46,3,5,0
191,0,3,35,1,0,58.91196728
192,0,-16,34,0,0,47.14641571
193,0,0,45,0,0,56.00341558
194,0,-4,-41,0,0,60.97288728
195,0,-31,25,0,0,0
196,0,5,-30,0,0,0
197,1,7,-29,0,0,0
198,1,17,-30,0,0,54.32525873
199,0,33,-23,0,0,45.04612386
200,0,-17,36,0,0,0
201,1,-53,17,3,0,0
202,1,-33,31,0,3,0
203,1,-87,-3,3,0,0
204,1,-60,1,0,0,0
205,1,-38,6,3,0,0
206,1,33,-13,0,0,0
207,1,-45,6,3,0,0
208,0,-15,33,0,0,0
209,0,-59,2,3,0,0
210,0,59,-6,0,0,0
211,0,-50,3,3,0,0
212,0,-62,12,3,0,0
213,0,45,-5,0,0,0
214,0,-29,20,3,0,0
215,0,0,-29,0,0,0
216,0,50,-9,0,0,0
217,0,-45,12,3,0,0
218,0,34,-13,0,0,0
219,0,-29,22,3,0,0
220,0,46,-12,0,0,0
221,0,-63,11,3,0,0
222,0,11,-25,0,0,0
223,0,-36,18,3,0,0
224,1,28,-14,0,0,0
225,1,-54,16,3,0,0
226,1,22,-26,0,0,0
227,0,-27,22,3,0,0
228,0,25,-26,0,0,0
229,0,-60,11,3,0,0
230,0,-71,1,0,0,0
231,0,-60,10,3,0,0
232,0,45,-11,0,0,0
233,0,-32,21,3,0,0
234,0,22,-26,0,0,0
235,0,-47,12,2,0,0
236,0,26,-18,0,0,0
237,0,-61,9,2,0,0
238,0,10,-23,0,0,0
239,0,-31,14,2,0,0
240,0,21,-25,0,0,0
241,0,-56,14,3,0,0
242,0,22,-26,0,0,0
243,0,-61,11,3,0,0
244,0,-32,26,0,0,0
245,0,-62,11,3,0,0
246,0,35,-18,0,0,0
247,0,-20,15,3,0,0
248,0,16,-27,0,0,0
249,0,-58,12,3,0,0
250,0,10,-27,0,0,0
251,1,-52,17,3,0,0
252,1,32,-13,0,0,0
253,0,-30,22,3,0,0
254,0,15,-21,0,0,0
255,0,-40,16,3,0,0
256,0,10,-28,0,0,0
257,0,-63,10,3,0,0
258,0,56,-7,0,0,0
259,0,-67,7,0,0,0
260,0,80,-3,0,0,0
261,0,-23,28,3,0,0
262,0,57,-10,0,0,0
263,0,-56,15,3,0,0
264,0,20,-27,0,0,0
265,0,-19,24,3,0,0
266,0,45,-12,0,0,0
267,0,-36,17,3,0,0
268,0,14,-27,0,0,0
269,0,-72,1,3,0,0
270,0,21,-26,0,0,0
271,0,-67,7,2,0,0
272,0,14,-30,0,0,0
273,0,-32,17,3,0,0
274,0,-75,7,0,0,0
275,0,-32,20,3,0,0
276,0,-9,38,0,0,0
277,0,-38,10,3,0,0
278,2,34,-14,0,0,0
279,2,-1,30,0,0,0
280,2,67,-5,0,0,0
281,2,7,32,0,0,0
282,2,37,-15,0,0,0
283,2,0,32,0,0,45.97552717
284,1,33,-17,0,0,45.97552717
285,0,0,24,0,0,0
286,0,18,12,0,0,0
287,0,0,7,0,0,0
288,0,22,12,0,0,0
289,2,57,0,0,0,0
290,2,3,17,0,2,0
291,0,85,-2,0,3,48.73953462
292,2,-81,-1,0,4,0
293,2,19,-20,0,3,58.62153769
294,1,-22,29,3,5,45.84421813
295,2,-12,40,1,5,65.806669
296,2,-12,40,1,5,53.6110878
297,2,-12,42,0,1,0
298,2,-9,45,0,0,0
299,1,-7,48,0,1,0
300,1,-5,49,0,4,0
301,2,-7,49,0,5,0
302,2,-6,49,1,5,0
303,0,-10,46,0,4,0
304,2,-13,44,0,4,0
305,2,-12,45,0,4,0
306,2,-11,45,0,4,0
307,2,-11,46,0,4,0
308,2,-10,46,0,5,0
309,2,-14,43,0,4,0
310,2,-13,44,0,4,0
311,2,-12,44,0,2,0
312,2,-11,44,0,5,0
313,2,-8,47,1,5,0
314,2,-14,43,0,5,0
315,2,0,60,3,3,0
316,2,1,61,3,3,0
317,2,-11,44,0,0,0
318,2,20,-24,0,0,0
319,2,-3,50,1,0,0
320,2,0,-41,0,0,0
321,2,16,33,0,3,0
322,2,-7,46,0,0,0
323,2,10,19,0,3,0
324,2,-9,43,0,0,0
325,2,-3,9,0,1,0
326,2,-25,16,1,5,0
327,2,-15,16,3,5,0
328,2,-16,21,1,5,0
329,2,-19,19,0,5,0
330,2,-10,19,3,5,0
331,2,18,15,2,5,0
332,2,24,20,3,5,0
333,2,-3,12,3,5,0
334,2,-72,2,0,1,0
335,2,43,5,0,0,0
336,2,-23,-4,0,4,0
337,2,5,0,0,2,0
338,2,-19,-33,0,0,0
339,2,47,-5,0,0,0
340,2,-11,-41,0,1,0
341,2,20,-22,0,0,0
342,2,-6,-39,0,4,0
343,2,-16,-27,0,4,0
344,2,-25,-13,0,0,0
345,2,-34,-18,0,0,0
346,2,-47,-17,0,1,0
347,2,-54,-17,0,0,0
348,2,-58,-26,3,3,45.02691925
349,2,-40,-34,3,5,0
350,2,-27,-56,3,5,0
351,2,-19,-46,3,5,0
352,2,-17,-45,3,5,46.16140723
353,2,-28,-44,3,0,0
354,2,-38,-46,3,5,0
355,2,-52,-31,2,0,0
356,2,-36,-45,3,5,0
357,2,-53,-39,3,4,45.09176016
358,2,57,-9,3,5,0
359,2,-65,-27,3,5,0
360,2,-77,-22,3,5,0
361,2,87,-20,3,1,0
362,2,-22,-40,3,5,0
363,2,62,-10,3,5,0
364,1,-48,-37,3,5,0
365,1,-39,-42,3,5,0
366,1,27,-20,0,1,0
367,1,47,-17,0,0,0
368,1,44,-17,0,0,0
369,1,27,-21,0,1,0
370,1,16,-34,3,5,0
371,1,4,-40,1,4,0
372,1,2,-30,0,5,0
373,1,2,-29,2,5,48.33472669
374,1,9,-39,3,5,49.80294704
375,1,8,-35,3,5,0
376,1,8,-33,1,5,0
377,1,-2,-42,1,5,0
378,1,-9,-33,3,5,59.16899443
379,1,37,1,3,5,0
380,1,-2,29,3,5,0
381,1,-3,21,3,5,0
382,1,-24,15,3,5,0
383,1,-36,7,3,5,0
384,1,-12,41,0,0,0
385,1,-4,-38,3,5,0
386,1,1,-31,3,5,52.4489224
387,1,-26,-25,3,5,46.22782767
388,1,-19,-20,3,5,45.3399241
389,1,-6,-19,3,5,47.63703942
390,1,-23,-23,1,3,46.7420876
