,no_faces,Angle1,Angle2,cnt_inner,cnt_outer,Phone_detected
0,1,12,-31,0,0,0.0
1,1,12,-31,0,0,0.0
2,1,10,-33,0,0,0.0
3,1,11,-33,0,0,0.0
4,1,9,-34,0,0,0.0
5,1,30,-18,0,0,0.0
6,1,22,-21,0,0,0.0
7,1,-50,9,0,0,0.0
8,1,-7,42,0,0,0.0
9,1,-7,49,0,1,0.0
10,1,-16,41,0,3,0.0
11,1,-19,39,4,3,0.0
12,1,-16,45,4,3,0.0
13,1,-17,43,4,3,0.0
14,1,-10,54,4,3,0.0
15,1,-14,47,4,3,0.0
16,1,-15,42,4,3,0.0
17,1,-17,42,5,3,0.0
18,1,-17,42,5,3,0.0
19,1,-15,45,4,3,0.0
20,1,-12,50,3,3,0.0
21,1,-13,48,4,3,0.0
22,1,-12,51,4,3,0.0
23,1,-13,47,2,3,0.0
24,1,-14,46,4,3,0.0
25,1,-17,43,4,3,0.0
26,1,-13,47,4,3,0.0
27,2,0,0,0,0,0.0
28,1,-10,47,4,3,0.0
29,1,-8,54,1,3,0.0
30,1,-9,47,0,3,0.0
31,1,-7,47,0,1,0.0
32,2,0,0,0,0,0.0
33,1,-6,46,4,3,0.0
34,1,-9,43,2,2,0.0
35,1,-8,44,1,2,0.0
36,1,-10,41,1,1,0.0
37,1,-11,39,3,1,0.0
38,1,-13,38,0,1,0.0
39,1,-10,41,0,1,0.0
40,1,-13,34,5,3,0.0
41,1,-13,34,4,3,0.0
42,1,-16,31,0,2,0.0
43,1,-19,27,5,3,0.0
44,1,-13,33,5,3,0.0
45,1,-14,34,4,3,0.0
46,1,-13,33,4,3,0.0
47,2,0,0,0,0,0.0
48,1,-16,32,4,3,0.0
49,1,-15,31,2,1,0.0
50,1,-15,32,4,3,0.0
51,1,-14,32,4,3,0.0
52,1,-17,31,3,2,0.0
53,1,-19,29,2,1,0.0
54,1,-17,32,0,1,0.0
55,1,-16,33,1,1,0.0
56,1,-18,31,3,3,0.0
57,1,-20,30,4,3,0.0
58,1,-15,32,5,3,0.0
59,1,-15,32,5,3,0.0
60,1,-17,29,5,3,0.0
61,1,-18,26,3,3,0.0
62,1,-18,27,3,1,0.0
63,1,-19,28,3,3,0.0
64,1,-20,25,5,3,0.0
65,1,-13,35,5,3,0.0
66,1,-18,31,3,3,0.0
67,1,-17,31,3,3,0.0
68,1,-17,29,3,3,0.0
69,1,-18,30,4,3,0.0
70,1,-16,30,3,1,0.0
71,1,-16,28,4,3,0.0
72,1,-18,28,5,3,0.0
73,1,-17,33,5,3,0.0
74,1,-15,33,5,3,0.0
75,1,-16,33,4,3,0.0
76,1,-13,34,5,3,0.0
77,1,-15,32,5,3,0.0
78,1,-19,30,5,3,0.0
79,1,-18,32,4,3,0.0
80,1,-17,31,3,2,0.0
81,1,-19,31,4,2,0.0
82,1,-21,28,5,3,0.0
83,1,-18,30,4,3,0.0
84,1,-24,27,2,3,0.0
85,1,-17,32,4,3,0.0
86,1,-13,34,4,3,0.0
87,1,-15,35,5,3,0.0
88,1,-19,31,5,3,0.0
89,1,-17,33,5,3,0.0
90,1,-21,31,4,3,0.0
91,1,-18,34,5,3,0.0
92,1,-16,33,5,3,0.0
93,1,-17,32,4,3,0.0
94,1,-18,31,5,3,0.0
95,1,-16,32,5,3,0.0
96,1,-19,34,5,3,0.0
97,1,-20,30,4,3,0.0
98,1,-15,34,5,3,0.0
99,1,-16,33,5,3,0.0
100,1,-17,32,5,3,0.0
101,1,-18,33,4,3,0.0
102,1,-16,33,0,1,0.0
103,1,-15,34,1,3,0.0
104,1,-20,31,2,3,0.0
105,1,-18,32,5,3,0.0
106,1,-22,29,4,3,0.0
107,1,-19,33,4,3,0.0
108,1,-20,32,5,3,0.0
109,1,-20,32,4,3,0.0
110,1,-19,33,4,3,0.0
111,1,-18,35,4,3,0.0
112,1,-18,35,5,3,0.0
113,1,-20,32,5,3,0.0
114,1,-20,32,5,3,0.0
115,1,-18,33,5,3,0.0
116,1,-17,33,5,3,0.0
117,1,-17,36,4,3,0.0
118,1,-19,31,3,3,0.0
119,1,-18,33,5,3,0.0
120,1,-19,31,1,3,0.0
121,1,-17,34,4,3,0.0
122,1,-19,32,4,3,0.0
123,1,-21,30,1,3,0.0
124,1,-22,30,1,3,0.0
125,1,-18,32,5,3,0.0
126,1,-20,30,3,3,0.0
127,1,-17,26,3,3,0.0
128,1,-21,30,4,3,0.0
129,1,-15,29,4,3,0.0
130,1,-22,29,5,3,0.0
131,1,-22,27,4,3,0.0
132,1,-19,33,5,3,0.0
133,1,-19,33,4,3,0.0
134,1,-23,29,5,3,47.865089774131775
135,1,-18,32,5,3,0.0
136,1,-16,36,5,3,0.0
137,1,-18,33,5,3,0.0
138,1,-17,34,5,3,0.0
139,2,0,0,0,0,0.0
140,1,-17,36,0,3,0.0
141,1,-18,33,5,3,0.0
142,1,-15,37,5,3,0.0
143,1,-16,36,5,3,0.0
144,2,0,0,0,0,0.0
145,1,-16,37,4,3,0.0
146,1,-18,34,4,3,0.0
147,2,0,0,0,0,0.0
148,2,0,0,0,0,0.0
149,1,-14,35,5,3,0.0
150,1,-16,34,4,3,0.0
151,1,-17,34,4,3,0.0
152,1,-19,33,4,3,0.0
153,1,-18,33,0,3,0.0
154,1,-20,32,4,3,0.0
155,1,-18,33,4,3,0.0
156,1,-14,36,4,3,0.0
157,1,-18,34,3,3,0.0
158,1,-22,31,4,3,0.0
159,1,-20,33,5,3,0.0
160,1,-19,33,5,3,0.0
161,1,-20,31,5,3,0.0
162,1,-18,35,4,3,0.0
163,1,-23,30,5,3,0.0
164,1,-18,30,4,3,0.0
165,1,-19,32,4,3,0.0
166,1,-19,31,5,3,0.0
167,1,-18,29,4,3,0.0
168,1,-22,27,3,3,0.0
169,1,-18,32,4,3,0.0
170,1,-22,27,5,3,0.0
171,1,-17,31,4,3,0.0
172,1,-20,31,5,3,0.0
173,1,-21,33,5,3,0.0
174,1,-19,32,5,3,0.0
175,1,-20,33,5,3,46.291375160217285
176,1,-15,35,4,2,0.0
177,1,-15,32,4,3,0.0
178,1,-21,32,4,3,0.0
179,1,-16,34,0,2,0.0
180,1,-21,34,3,3,0.0
181,1,-19,33,5,3,0.0
182,1,-18,36,0,3,0.0
183,1,-19,31,1,2,0.0
184,1,-15,37,1,3,0.0
185,1,-18,32,3,3,0.0
186,1,-13,37,1,3,0.0
187,1,-14,36,4,3,0.0
188,1,-18,33,5,3,0.0
189,1,-15,35,4,3,0.0
190,1,-14,40,4,3,0.0
191,1,-14,35,5,3,0.0
192,1,-17,35,1,3,0.0
193,1,-21,33,5,3,0.0
194,1,-20,33,4,3,49.039047956466675
195,1,-14,35,2,3,45.86028456687927
196,1,-14,38,4,3,0.0
197,1,-19,35,0,1,0.0
198,1,-19,35,5,3,0.0
199,1,-19,34,5,3,0.0
200,1,-23,31,4,3,0.0
201,1,-21,32,4,3,0.0
202,1,-18,32,4,3,0.0
203,1,-20,32,4,3,0.0
204,1,-20,33,5,3,0.0
205,1,-16,34,0,2,0.0
206,1,-18,33,4,3,0.0
207,1,-12,39,4,3,0.0
208,1,-10,44,1,3,0.0
209,1,-19,36,5,3,0.0
210,1,-21,35,4,3,0.0
211,1,-17,35,5,3,49.91202354431152
212,1,-16,35,1,3,0.0
213,1,-18,35,5,3,0.0
214,1,-16,36,4,3,0.0
215,1,-17,34,4,3,0.0
216,1,-15,37,0,3,0.0
217,1,-19,36,4,3,0.0
218,1,-18,33,5,3,0.0
219,1,-18,33,4,3,0.0
220,1,-21,29,5,3,47.29278087615967
221,1,-18,26,2,3,0.0
222,1,-16,24,3,2,0.0
223,1,-21,25,3,3,0.0
224,1,-23,25,3,3,0.0
225,1,-17,29,3,3,0.0
226,1,-16,29,3,3,0.0
227,1,-16,31,4,3,0.0
228,1,-21,28,1,3,0.0
229,1,-22,26,4,3,0.0
230,1,-19,24,3,2,0.0
231,1,-17,20,5,3,0.0
232,1,-19,20,5,3,0.0
233,1,-18,22,4,3,0.0
234,1,-16,21,5,3,0.0
235,1,-20,22,5,3,0.0
236,1,-23,25,5,3,0.0
237,1,-18,25,2,3,0.0
238,1,-19,31,4,3,0.0
239,1,-19,28,1,2,0.0
240,1,-22,27,4,3,0.0
241,1,-23,28,5,3,0.0
242,1,-19,27,3,3,0.0
243,1,-20,27,5,3,0.0
244,1,-18,24,1,3,0.0
245,1,-20,30,4,3,0.0
246,1,-20,29,3,3,0.0
247,1,-18,31,4,3,45.17287313938141
248,1,-19,30,4,3,0.0
249,1,-17,30,4,3,0.0
250,1,-18,28,4,3,0.0
251,1,-19,29,5,3,0.0
252,1,-23,28,5,3,0.0
253,1,-21,28,5,3,0.0
254,1,-23,26,5,3,0.0
255,1,-17,34,4,3,0.0
256,1,-18,28,4,3,0.0
257,1,-18,28,4,3,0.0
258,1,-20,27,3,3,0.0
259,1,-19,26,4,3,0.0
260,1,-20,24,4,3,0.0
261,1,-19,30,5,3,0.0
262,1,-20,29,5,3,0.0
263,1,-16,32,5,3,0.0
264,1,-18,31,3,3,0.0
265,1,-17,33,4,3,47.36289978027344
266,1,-19,32,5,3,46.87211513519287
267,1,-21,27,5,3,0.0
268,1,-21,28,3,3,0.0
269,1,-19,23,5,3,0.0
270,1,-17,22,4,3,0.0
271,1,-22,28,5,3,0.0
272,1,-25,25,5,3,0.0
273,1,-21,20,3,3,0.0
274,1,-21,22,5,3,0.0
275,1,-18,23,3,3,0.0
276,1,-18,25,4,3,0.0
277,1,-22,23,4,3,0.0
278,1,-20,20,3,3,0.0
279,1,-16,26,4,3,0.0
280,1,-20,26,4,3,0.0
281,1,-19,26,4,3,0.0
282,1,-21,27,4,3,0.0
283,1,-20,27,3,3,0.0
