,Head_orientation_vertical,Head_orientation_horizontal,Mouth_open,Phone_detected,Head_count,Head_angles_v,Head_angles_h
169, , ,Mouth open,55.40187358856201,1,1,-47
170, , ,Mouth open,47.64459729194641,0,13,20
171, , ,Mouth open, ,1,4,-44
172,Head down,Head right, ,59.86117720603943,0,90,90
173, , ,Mouth open,57.026052474975586,1,-5,-2
174, , ,Mouth open,54.984885454177856,1,-17,-9
175, , ,Mouth open,45.4028457403183,1,-23,31
176, , ,Mouth open, ,1,-18,17
177, , , ,63.51175308227539,1,-20,35
178, , , ,59.99922752380371,2,20,-6
179, , ,Mouth open,54.95660901069641,1,-18,29
180, , ,Mouth open, ,1,0,-40
181, , ,Mouth open,54.331398010253906,1,18,-15
182, , ,Mouth open,46.99079990386963,1,22,0
183, , , ,45.61379253864288,2,17,-43
184, , ,Mouth open, ,2,25,0
185, ,Head left, , ,1,8,-50
186, , ,Mouth open, ,0,7,-16
187, , ,Mouth open, ,1,-2,-2
188, , ,Mouth open, ,1,-1,-1
189, , , , ,1,21,-39
190, , ,Mouth open, ,1,12,-17
191, , ,Mouth open, ,0,-14,19
192, , , , ,1,18,-40
193, , ,Mouth open, ,1,-14,17
194, , , ,55.24112582206726,1,14,-47
195, , ,Mouth open,53.194135427474976,1,14,7
196,Head up, , , ,1,-66,4
197, , ,Mouth open,60.65121293067932,1,4,-5
198, , , ,50.7382333278656,1,14,-44
199, , ,Mouth open, ,1,8,-12
200, ,Head left, , ,0,11,-50
201, , ,Mouth open,60.94115376472473,1,-13,27
202, , , ,55.48185706138611,0,14,-42
203, , ,Mouth open, ,0,-18,30
204, , , ,61.666637659072876,1,26,-18
205, ,Head left,Mouth open,52.98724174499512,1,3,-61
206, ,Head left,Mouth open, ,1,3,-60
207, ,Head left,Mouth open, ,1,2,-59
208, ,Head left,Mouth open, ,1,6,-55
209, ,Head left,Mouth open, ,1,3,-58
210, ,Head left,Mouth open, ,1,2,-60
211, , ,Mouth open, ,1,7,-41
212, , ,Mouth open, ,1,9,-25
213, , ,Mouth open, ,1,-22,23
214, , ,Mouth open, ,1,-23,22
215, , ,Mouth open, ,1,-1,41
216, , ,Mouth open, ,1,10,-22
217, , ,Mouth open, ,1,-2,0
218, , ,Mouth open, ,1,35,-10
219, , ,Mouth open, ,1,9,-24
220, , ,Mouth open, ,1,8,-23
221, , , , ,1,4,-33
