,no_faces,Angle1,Angle2,cnt_inner,cnt_outer,Phone_detected
0,1,11,-27,0,0,0
1,1,11,-26,0,0,0
2,1,10,-27,0,0,0
3,1,9,-26,0,0,0
4,1,7,-25,0,0,0
5,1,10,-28,4,3,0
6,1,8,-31,5,3,0
7,1,8,-34,5,3,0
8,1,10,-29,5,3,0
9,1,8,-30,0,3,0
10,1,2,-26,0,1,0
11,1,9,-26,4,3,0
12,1,9,-30,4,3,0
13,1,11,-30,5,3,0
14,1,11,-29,5,3,55.95318675
15,1,11,-30,5,3,59.42822099
16,1,9,-31,5,3,54.19681072
17,1,9,-31,5,3,47.01486826
18,1,5,-34,5,3,49.78996217
19,1,6,-32,5,3,49.57616329
20,1,9,-32,5,3,48.96258116
21,1,8,-29,5,3,46.79726362
22,1,10,-28,5,3,45.39933205
23,1,6,-31,5,3,47.72473872
24,1,9,-29,5,3,47.23910987
25,1,11,-29,5,3,46.07698917
26,1,20,-17,4,3,49.33852553
27,1,6,-24,4,3,49.55700338
28,1,8,-29,4,3,50.59663057
29,1,5,-24,4,3,57.19371438
30,1,7,-27,5,3,57.25046396
31,1,7,-28,5,3,46.74094021
32,1,6,-28,5,3,53.32891941
33,1,16,-19,5,3,50.70381761
34,1,8,-27,5,3,51.21489167
35,1,9,-29,5,3,47.80564606
36,1,10,-30,4,3,51.48925781
37,1,8,-28,4,3,51.39268637
38,1,-4,-25,3,3,60.1508081
39,1,2,-31,1,3,48.73390496
40,1,10,-28,4,3,51.12691522
41,1,8,-27,5,3,0
42,1,16,-28,5,3,46.20412886
43,1,11,-30,5,3,0
44,1,15,-29,5,3,46.75647914
45,1,12,-30,5,3,46.9109565
46,1,12,-29,5,3,0
47,1,14,-30,5,3,45.88757157
48,1,12,-30,5,3,45.2621609
49,1,11,-31,5,3,45.01308501
50,1,15,-28,5,3,47.69382179
51,1,14,-32,5,3,45.03850937
52,1,14,-34,5,3,48.58059585
53,1,11,-41,5,3,51.57254338
54,2,0,0,0,0,0
55,1,14,-36,5,3,52.39946246
56,1,13,-35,5,3,47.47980237
57,1,5,-30,5,3,0
58,1,1,-26,3,3,0
59,1,15,13,5,3,0
60,1,1,31,5,3,0
61,1,-2,36,0,0,0
62,1,-3,39,0,0,0
63,1,-3,44,0,1,0
64,1,-2,46,0,1,0
65,1,-1,50,4,3,0
66,1,0,44,1,1,0
67,1,0,42,0,0,0
68,1,-5,36,0,0,47.79308438
69,1,-14,34,0,0,50.50628185
70,1,-9,40,0,0,51.52189732
71,1,-10,38,0,0,53.58969569
72,1,-6,41,0,0,47.1450001
73,1,-5,42,0,0,51.66514516
74,1,-8,37,0,2,49.57719445
75,1,-7,39,0,1,54.91264462
76,1,-9,37,0,1,45.73120177
77,1,-8,39,0,0,45.42247355
78,1,-9,38,0,0,59.16201472
79,1,-7,39,0,0,48.25890958
80,1,-10,38,0,0,55.80090284
81,1,-12,36,0,0,49.80288148
82,1,-9,40,0,0,48.69755805
83,1,-12,34,0,0,0
84,1,-6,37,0,0,46.41448259
85,1,-12,37,0,0,52.59323716
86,1,-11,38,0,0,51.07175112
87,1,-14,34,0,0,51.03594065
88,1,-14,34,1,0,58.49110484
89,1,-13,33,3,0,45.48936486
90,1,-13,35,3,0,46.62081897
91,1,-13,36,0,0,53.48667502
92,1,-12,35,0,0,54.59487438
93,1,-11,37,0,0,45.34519613
94,1,-13,35,1,0,53.83940935
95,1,-13,35,0,0,53.28519344
96,1,-11,38,0,0,55.04721999
97,1,-12,37,2,0,48.82872403
98,1,-10,38,0,0,56.14191294
99,1,-13,37,3,0,61.48868799
100,1,-18,30,5,3,58.59212875
101,1,-13,30,5,3,56.9852531
102,1,-8,35,0,0,58.16800594
103,1,-15,30,3,0,53.81023884
104,1,-12,34,0,0,54.34353352
105,1,-13,34,0,0,54.71595526
106,1,-15,34,0,0,48.5558629
107,1,-14,33,4,0,48.4372437
108,1,-22,22,5,3,0
109,1,8,-14,5,3,0
110,1,11,-26,0,0,62.00450659
111,1,18,-23,0,2,0
112,1,17,-24,0,2,0
113,1,15,-25,0,2,0
114,1,19,-26,0,0,0
115,1,28,-16,0,0,0
116,1,27,-22,0,0,0
117,1,27,-22,0,0,47.46343493
118,1,24,-24,0,0,0
119,1,25,-24,0,0,0
120,1,27,-22,0,0,49.67123866
121,1,25,-21,0,2,57.24595189
122,1,22,-23,0,0,46.64385319
123,1,25,-21,0,1,52.43299007
124,1,29,-18,0,0,54.16929126
125,1,34,-20,0,0,47.13642299
126,1,39,-16,0,0,49.86129105
127,1,37,-17,0,0,46.37276232
128,1,36,-17,0,0,46.09084129
129,1,30,-21,0,0,52.36393809
130,1,31,-20,0,0,47.28730023
131,1,21,-26,0,2,60.04863977
132,1,17,-29,0,2,50.86957216
133,1,14,-30,4,3,52.81083584
134,1,18,-25,0,0,48.48211408
135,1,15,-26,0,0,60.05159616
136,1,13,-29,0,0,54.40833569
137,1,14,-30,4,3,63.3217454
138,1,15,-29,0,0,48.1423378
139,1,19,-27,0,0,0
140,1,19,-26,0,0,0
141,1,23,-26,0,0,0
142,1,21,-25,3,3,0
143,1,22,-24,0,3,54.78688478
144,1,28,-22,0,0,52.45829225
145,1,29,-21,0,0,53.72318029
146,1,29,-21,0,1,57.30150342
147,1,26,-23,0,2,59.5820725
148,1,27,-22,0,3,61.31807566
149,1,29,-21,0,3,57.20095634
150,1,27,-21,0,0,47.64291346
151,1,21,-26,0,0,52.09549665
152,1,13,-30,0,0,53.20773721
153,1,18,-26,4,3,0
154,1,11,-29,2,0,47.53953815
155,1,12,-27,3,3,51.31129622
156,1,9,-29,0,1,45.44971287
157,1,-39,14,0,2,48.01876843
158,1,-21,26,0,0,54.35385108
159,1,-23,25,0,1,53.11039686
160,1,-42,17,0,0,48.54882658
161,1,16,-26,0,2,46.08653188
162,1,-37,19,0,2,47.36491144
163,1,-33,20,4,3,47.81280756
164,1,-36,19,4,3,0
165,1,13,-29,5,3,49.90524054
166,1,-40,17,3,3,48.85585606
167,1,11,-27,4,3,56.72326684
168,1,-66,3,5,3,51.44040585
169,1,-21,27,3,3,55.43894768
170,1,-22,26,5,3,52.43633986
171,1,-21,26,5,3,45.05315721
172,1,-22,25,0,0,54.92063165
173,1,-21,26,0,1,54.18012738
174,1,-12,22,5,3,57.37538338
175,1,-12,21,5,3,49.3314743
176,1,-40,13,4,3,49.01352525
177,1,-55,7,4,3,51.20765567
178,1,10,-27,4,3,0
179,1,15,-28,0,1,49.28556383
180,1,18,-25,0,0,57.14709759
181,1,26,-23,0,2,45.36985755
182,1,22,-27,0,0,49.92667437
183,1,19,-28,0,0,49.2112577
184,1,25,-25,0,1,45.15803456
185,1,26,-24,0,0,0
186,1,26,-24,0,1,49.50712323
187,1,21,-26,0,0,0
188,1,13,-30,0,0,0
189,1,7,-36,3,3,45.58442831
190,1,9,-34,4,3,48.38952124
191,1,9,-34,4,3,53.64188552
192,1,10,-33,4,3,45.28162777
193,1,8,-34,4,3,45.10066509
194,1,9,-32,4,3,48.64619374
195,1,8,-35,4,3,50.6763041
196,1,10,-32,4,3,46.8303293
197,1,9,-34,0,2,45.53910792
198,1,12,-27,2,3,0
199,1,14,-28,3,3,0
200,1,13,-30,4,3,47.4465549
201,1,10,-31,2,3,59.52614546
202,1,12,-31,3,3,58.51029158
203,1,13,-30,3,3,58.56652856
204,1,15,-29,1,3,52.12463737
205,1,16,-29,3,3,54.4146359
206,1,15,-29,4,3,47.22328186
207,1,14,-30,2,3,53.88319492
208,1,15,-29,0,2,53.87327671
209,1,12,-29,2,3,45.02537847
210,1,15,-27,0,0,50.46777129
211,1,15,-28,0,2,46.82216644
212,1,14,-27,0,1,49.84195232
213,1,13,-28,3,3,63.15307021
214,1,16,-27,2,3,60.48026681
215,1,17,-29,1,3,55.54382205
216,1,19,-28,3,3,47.39272594
217,1,20,-29,0,3,58.14042091
218,1,19,-29,1,3,48.75150025
219,1,22,-26,2,3,57.81036019
220,1,22,-25,0,2,49.79585707
221,1,18,-28,0,3,47.73863554
222,1,20,-26,0,3,62.74536252
223,1,27,-22,0,2,48.00605476
224,1,30,-18,0,0,0
225,1,23,-25,0,0,0
226,1,21,-23,0,0,0
227,1,-31,23,0,0,0
228,1,-13,34,2,1,52.80100107
229,1,-8,38,0,0,0
230,1,-4,43,0,3,0
231,1,-10,36,4,3,0
232,1,-13,34,0,1,0
233,1,-10,36,0,1,0
234,1,-8,40,4,3,0
235,1,-11,40,1,3,0
236,1,-9,42,3,3,0
237,1,-10,41,1,1,0
238,1,-9,42,3,3,0
239,1,-8,44,4,2,45.26886046
240,1,-7,44,0,0,0
241,1,-9,43,2,0,0
242,1,-4,47,0,2,0
243,1,-7,44,0,3,0
244,1,-8,41,0,0,0
245,1,-6,45,0,1,0
246,1,-8,42,0,1,0
247,1,-8,42,0,3,0
248,1,-7,43,0,2,47.01376557
249,1,-8,42,0,3,46.62148356
250,1,-8,43,0,3,0
251,1,-8,42,0,3,0
252,1,-8,43,0,3,0
253,1,-7,43,0,2,47.8308022
254,1,-7,42,0,0,53.26260328
255,1,-8,41,0,1,51.28908157
256,1,-6,43,0,1,54.95961308
257,1,-8,41,0,0,45.29410005
258,1,-7,42,0,0,51.0045886
259,1,-7,41,0,0,54.95215058
260,1,-6,43,0,1,47.3987937
261,1,-8,41,0,1,45.26465535
262,1,-8,42,0,0,49.16048646
263,1,-8,42,0,0,48.00621569
264,1,-8,41,0,0,0
265,1,-6,42,0,0,0
266,1,-9,41,0,1,51.48895383
267,1,-7,40,1,1,48.56449366
268,1,-9,39,0,0,49.47429299
269,1,-12,38,0,0,45.62999904
270,1,-10,40,1,3,0
271,1,-10,40,0,0,0
