,no_faces,Angle1,Angle2,cnt_inner,cnt_outer,Phone_detected
220,1,55,-9,0,0,0
221,1,56,-9,0,0,0
222,1,58,-9,0,3,0
223,1,58,-8,1,0,0
224,1,56,-8,0,0,0
225,1,62,-8,0,0,0
226,1,67,-5,0,0,0
227,1,64,-8,0,0,0
228,1,62,-8,1,0,0
229,1,56,-8,0,0,0
230,1,64,-7,0,0,0
231,1,50,-12,0,0,0
232,1,46,-13,0,0,0
233,1,66,-8,0,0,0
234,1,79,-5,0,0,0
235,1,82,-3,0,0,0
236,1,75,-5,0,0,0
237,1,79,-4,0,0,0
238,1,-89,-3,0,0,0
239,1,81,-4,0,0,0
240,1,81,-4,0,0,0
241,1,-89,-2,0,0,0
242,1,80,-4,0,0,0
243,1,85,-3,0,0,0
244,1,83,-3,0,0,0
245,1,90,-2,0,0,0
246,1,86,-1,0,0,0
247,1,-47,11,0,0,0
248,1,-73,3,0,0,0
249,1,-49,10,0,0,0
250,1,-80,1,0,0,0
251,1,86,-2,0,0,0
252,1,51,-11,0,0,0
253,1,60,-10,0,0,0
254,1,43,-15,0,0,0
255,1,62,-7,0,0,0
256,1,65,-7,0,0,0
257,1,71,-7,0,0,0
258,1,67,-6,1,0,0
259,1,-89,1,0,0,0
260,1,-89,0,0,0,0
261,1,80,-2,0,0,0
262,1,68,-6,0,0,0
263,1,75,-4,0,0,0
264,1,73,-6,0,0,0
265,1,78,-4,0,0,0
266,1,88,-3,0,0,0
267,1,76,-5,0,0,0
268,1,72,-7,0,0,0
269,1,53,-12,0,0,0
270,1,78,-3,0,0,0
271,1,75,-6,0,0,45.30623853
272,1,63,-6,1,0,47.36471772
273,1,67,-6,0,0,46.80643976
274,1,68,-6,0,1,47.65275419
275,1,67,-6,0,2,47.13945687
276,1,64,-7,0,0,52.43211389
277,1,62,-6,0,0,49.41543341
278,1,60,-7,0,0,45.89506984
279,1,77,-3,0,0,0
280,1,61,-7,0,0,0
281,1,68,-6,0,0,0
282,1,73,-5,0,0,0
283,1,75,-5,0,0,0
284,1,87,-3,0,0,0
285,1,-87,-2,0,0,0
286,1,89,-3,0,2,0
287,1,89,-4,0,0,0
288,1,78,-6,0,0,0
289,1,71,-5,0,0,0
290,1,79,-3,0,0,0
291,1,70,-6,0,0,0
292,1,76,-5,0,0,0
293,1,81,-2,5,0,0
294,1,87,0,0,0,0
295,1,74,-5,0,0,0
296,1,72,-5,0,1,0
297,1,74,-5,0,0,0
298,1,83,-2,0,0,0
299,1,-82,3,0,1,0
300,1,-86,0,0,0,0
301,1,89,-2,0,0,0
302,1,-85,-1,0,0,0
303,1,77,-6,0,0,0
304,1,-84,-2,0,0,0
305,1,88,-2,0,0,0
306,1,85,-5,0,0,0
307,1,-59,4,0,0,0
313,1,87,-1,0,0,0
314,1,-37,17,0,0,0
315,1,-88,-1,0,0,0
316,1,61,-10,0,0,0
317,1,60,-9,0,0,0
318,1,66,-7,0,0,0
319,1,65,-8,0,0,0
320,1,61,-8,0,0,0
321,1,73,-4,0,0,0
322,1,66,-7,0,0,0
323,1,61,-9,1,0,0
324,1,67,-6,0,0,0
325,1,61,-8,0,0,0
326,1,61,-8,0,0,0
327,1,44,-14,0,0,0
328,1,26,-22,2,2,0
329,1,20,-28,5,3,0
330,1,22,-29,0,3,0
331,1,18,-29,0,3,0
332,1,29,-21,0,2,0
333,1,40,-17,0,3,0
334,1,55,-10,0,1,0
335,1,63,-6,0,0,0
336,1,62,-8,0,0,0
337,1,73,-5,0,1,0
338,1,76,-6,0,0,0
339,1,73,-8,0,0,0
340,1,47,-15,0,0,0
341,1,55,-13,0,0,0
342,1,59,-12,0,0,0
343,1,62,-10,0,0,0
344,1,59,-11,0,0,0
345,1,71,-8,0,0,0
346,1,74,-8,0,0,0
347,1,76,-7,0,1,0
348,1,88,-4,0,0,0
349,1,-46,10,0,1,0
350,1,-89,-4,0,0,0
351,1,88,-4,0,0,0
352,1,44,-16,0,0,0
354,1,53,-12,0,0,0
355,1,58,-10,0,0,0
356,1,53,-12,0,0,0
357,1,-85,-2,0,0,0
358,1,-89,-3,0,0,0
361,1,58,-8,0,0,0
362,1,-87,0,0,0,0
363,1,65,-7,0,0,0
364,1,52,-11,0,0,0
365,1,79,-3,0,0,0
366,1,56,-11,0,0,0
368,1,50,-14,0,0,0
369,1,50,-13,0,3,0
382,1,39,-18,0,0,0
383,1,37,-17,0,0,0
384,1,25,-18,4,2,0
385,1,41,-13,0,2,0
386,1,43,-15,0,0,0
387,1,31,-17,0,1,0
388,1,20,-24,1,3,0
389,1,26,-24,0,1,0
390,1,24,-21,4,3,0
391,1,20,-23,3,3,0
392,1,25,-19,3,3,0
393,1,32,-17,0,2,0
394,1,35,-16,0,2,0
395,1,31,-18,4,3,0
396,1,30,-17,3,3,0
397,1,27,-18,4,3,0
398,1,30,-17,4,3,0
399,1,32,-18,1,1,0
400,1,34,-16,0,3,0
401,1,37,-16,4,2,0
402,1,25,-22,5,3,0
414,1,-87,-2,0,0,0
415,1,-31,19,0,0,0
416,1,-64,4,0,0,0
417,1,-86,0,0,0,0
450,1,34,-17,0,0,0
451,1,37,-17,0,0,0
452,1,49,-13,0,0,0
453,1,51,-13,0,0,0
454,1,44,-14,0,0,0
455,1,44,-15,0,2,0
456,1,41,-16,0,1,0
457,1,39,-18,0,3,0
458,1,44,-14,0,0,0
459,1,34,-20,4,3,0
460,1,27,-25,0,3,0
461,1,23,-28,1,1,0
462,1,21,-30,3,3,0
463,1,21,-29,0,1,0
464,1,25,-28,0,0,0
465,1,36,-19,4,3,0
466,1,46,-13,0,3,0
467,1,44,-15,0,0,0
468,1,45,-14,0,0,0
469,1,-41,10,0,0,0
470,1,-39,7,0,0,0
471,1,-28,22,0,0,0
472,1,-28,23,0,0,0
473,1,-33,21,0,0,0
474,1,-31,23,0,0,0
475,1,-32,22,0,0,0
476,1,-34,21,0,0,0
477,1,-34,20,0,0,0
478,1,-34,21,0,1,0
479,1,-35,20,0,1,0
480,1,-31,23,0,2,0
481,1,-17,24,0,0,0
482,1,-67,3,0,0,0
483,1,-41,20,0,0,0
484,1,-30,19,0,2,0
485,1,28,-24,0,0,0
486,1,39,-20,0,0,0
487,1,46,-17,0,0,0
488,1,39,-18,0,0,0
489,1,28,-25,5,3,0
490,1,23,-28,1,3,0
491,1,25,-28,5,3,0
492,1,30,-24,4,3,0
493,1,36,-21,4,3,0
494,1,30,-25,2,3,0
495,1,31,-24,0,1,0
496,1,36,-22,4,3,0
497,1,39,-21,3,3,0
498,1,25,-30,1,3,0
499,1,30,-27,1,3,0
500,1,27,-28,2,3,0
501,1,28,-27,0,1,0
502,1,26,-29,4,3,0
503,1,27,-29,4,3,0
504,1,27,-28,5,3,0
505,1,26,-32,3,3,0
506,1,23,-30,3,3,0
507,1,30,-25,4,3,0
508,1,24,-29,3,3,0
509,1,25,-27,0,2,0
510,1,30,-25,0,3,0
511,1,28,-27,3,3,0
512,1,28,-23,2,3,0
513,1,66,-8,0,0,0
514,1,75,-4,0,0,0
515,1,-86,-3,0,0,0
516,1,88,-2,0,0,0
517,1,60,-9,0,0,0
518,1,67,-8,0,0,0
519,1,89,-2,0,0,0
520,1,-83,-1,0,0,0
521,1,79,-6,0,0,0
522,1,70,-7,0,3,0
523,1,46,-14,0,0,0
524,1,59,-11,0,0,0
525,1,27,-23,0,0,0
526,1,20,-27,0,0,0
527,1,26,-24,0,0,0
528,1,27,-22,0,0,0
529,1,30,-22,0,0,0
530,1,27,-23,0,0,0
531,1,31,-22,0,0,0
532,1,44,-14,0,0,0
533,1,29,-23,0,0,0
534,1,32,-20,0,0,0
535,1,44,-14,0,0,0
536,1,52,-12,0,0,0
537,1,62,-9,0,0,0
538,1,62,-9,0,0,0
539,1,61,-10,0,0,0
540,1,57,-11,0,0,0
541,1,48,-14,0,0,0
542,1,45,-15,0,0,0
543,1,61,-11,0,0,0
