,no_faces,Angle1,Angle2,cnt_inner,cnt_outer,Phone_detected
209,1,-77,-4,0,2,0
210,1,-11,0,0,3,0
211,1,24,0,0,5,0
212,1,60,-8,3,5,0
213,1,-15,16,3,5,0
214,1,21,-21,3,5,0
215,1,21,-24,0,4,0
216,1,21,-24,0,4,0
217,1,-3,16,0,1,0
218,1,19,-27,0,2,0
219,1,21,-26,1,1,0
220,1,22,-26,0,5,0
221,1,22,-26,0,5,0
222,1,21,-25,0,5,0
223,1,20,-27,0,5,0
224,1,21,-27,0,5,0
225,1,21,-27,0,5,0
226,1,20,-27,0,2,0
227,1,20,-27,0,5,0
228,1,23,-25,0,4,0
229,1,19,-27,0,5,0
230,1,18,-28,3,5,0
231,1,20,-26,2,5,0
232,1,22,-25,1,5,0
233,1,18,-27,0,5,0
234,1,19,-27,3,5,0
235,1,21,-27,0,3,0
236,1,20,-26,2,5,0
237,1,18,-28,0,5,0
238,1,17,-29,2,5,0
239,1,21,-26,0,4,0
240,1,19,-28,0,5,0
243,1,0,-19,3,5,0
244,1,15,-10,3,5,0
245,1,15,-10,3,5,0
246,1,-33,-12,3,5,0
247,1,18,-12,3,5,0
248,1,-3,-13,3,5,0
249,1,-20,-11,0,5,0
250,1,22,-11,0,4,0
251,1,13,-14,0,0,0
252,1,18,-18,1,1,0
253,1,19,-13,1,0,0
254,1,18,-15,0,5,0
255,1,20,-19,1,0,0
256,1,15,-15,0,4,0
257,1,25,-8,3,5,0
258,1,-10,-22,3,5,0
259,1,23,-12,3,5,0
260,1,14,-10,3,5,0
261,1,10,-12,2,5,0
262,1,14,-8,3,5,0
263,1,30,-14,3,5,0
264,1,15,-16,3,5,0
265,1,56,-7,3,5,0
266,1,20,-17,3,5,0
267,1,22,-15,3,5,0
268,1,24,-16,3,5,0
269,1,21,-12,3,5,0
270,1,31,-10,3,5,0
271,1,34,-9,3,5,0
272,1,28,-14,3,5,0
273,1,65,-7,3,5,0
274,1,-29,-10,3,5,0
275,1,57,-7,3,5,0
276,1,15,-13,3,5,0
277,1,-30,5,3,5,0
278,1,18,-16,3,5,0
279,1,56,-7,3,5,0
280,1,45,-12,3,5,0
281,1,41,-12,3,5,0
282,1,62,-6,3,5,0
283,1,-48,3,3,5,0
284,1,69,-5,3,5,0
285,1,50,-9,3,5,0
286,1,15,-11,3,5,0
287,1,-13,-11,3,5,0
288,1,-9,-9,3,5,0
289,1,32,-9,3,5,0
290,1,3,-21,3,5,0
291,1,3,-14,3,5,0
292,1,-5,-11,3,5,0
293,1,9,-17,3,5,0
294,1,-29,-17,3,5,0
295,1,-1,-18,3,5,0
296,1,42,-11,3,5,0
297,1,11,-8,3,5,0
298,1,30,-13,3,5,0
299,1,20,-9,3,5,0
300,1,43,-11,3,5,0
301,1,-9,-20,3,5,0
302,1,22,-13,3,5,0
303,1,-1,-22,3,5,0
304,1,6,-26,3,5,0
305,1,9,-24,3,5,0
306,1,5,-19,3,5,0
307,1,26,-12,1,5,0
308,1,6,-19,0,0,0
309,1,9,-15,2,0,0
310,1,9,-17,3,5,0
311,1,10,-22,3,5,0
312,1,7,-21,3,5,0
313,1,41,-9,3,5,0
314,1,28,-11,1,5,0
315,1,10,-21,0,4,0
316,1,-47,-11,3,5,0
317,1,15,-21,1,3,0
318,1,10,-20,3,5,0
319,1,13,-24,2,5,0
320,1,12,-15,0,0,0
321,1,13,-19,3,5,0
322,1,15,-17,1,4,0
323,1,26,-12,3,5,0
324,1,-18,-23,3,5,0
325,1,49,-10,3,5,0
326,1,38,-12,3,5,0
327,1,-8,-21,3,5,0
328,1,0,-16,3,5,0
329,1,0,-17,0,5,0
330,1,9,-21,2,5,0
331,1,6,-20,2,5,0
332,1,3,-17,2,5,0
333,1,4,-17,0,5,0
334,1,4,-17,1,5,0
335,1,0,-16,0,5,0
336,1,9,-19,3,5,0
337,1,63,-7,2,5,0
338,1,2,-17,2,5,0
339,1,5,-18,1,5,0
340,1,-4,-15,0,5,0
341,1,9,-19,1,5,0
342,1,-1,-18,1,5,0
343,1,-6,-15,3,5,0
344,1,1,-17,0,4,0
345,1,4,-15,3,5,0
346,1,5,-17,2,5,0
347,1,0,-15,1,5,0
348,1,-4,-17,2,5,0
349,1,-2,-17,3,5,0
350,1,-3,-17,2,5,0
351,1,-10,-15,3,5,0
352,1,-6,-16,0,5,0
353,1,10,-18,3,5,0
354,1,9,-22,0,5,0
355,1,10,-22,0,1,0
356,1,10,-22,0,5,0
357,1,13,-20,0,1,0
358,1,4,-18,0,5,0
359,1,-12,-14,0,2,0
360,1,-3,-17,0,4,0
361,1,-18,-13,3,5,0
362,1,-12,-14,0,2,0
363,1,2,-19,0,0,0
364,1,8,-17,2,5,0
365,1,-11,-15,0,3,0
366,1,-2,-15,0,5,0
367,1,-3,-16,1,5,0
368,1,-9,-15,0,2,0
369,1,-24,-13,0,3,0
370,1,81,-2,3,5,0
371,1,-5,18,3,3,0
372,1,-21,-15,3,0,0
373,1,0,32,3,5,0
374,1,-5,32,3,5,0
375,1,-23,31,3,0,0
376,1,-11,46,3,5,0
377,1,-10,47,3,5,0
378,1,-13,46,3,5,0
379,1,-14,45,3,5,0
380,1,-17,38,3,5,0
381,1,-11,47,3,5,0
382,1,-29,34,3,5,0
383,1,-36,28,3,5,0
384,1,-19,38,3,5,0
385,1,-14,45,3,5,0
386,1,-74,0,3,0,0
387,1,-73,0,2,0,0
388,1,-83,-1,2,0,0
389,1,-74,0,3,0,0
390,1,-74,-1,3,0,0
391,1,-75,1,3,0,0
392,1,-77,0,3,0,0
393,1,-77,-1,3,0,0
394,1,-74,0,3,0,0
395,1,-75,0,3,0,0
396,1,-76,0,3,0,0
397,1,-76,0,3,0,0
398,1,-74,0,3,0,0
399,1,-76,0,0,0,0
400,1,-74,0,3,0,0
401,1,-77,0,3,0,0
402,1,-72,0,3,0,0
403,1,-80,-1,3,0,0
404,1,-78,-1,3,0,0
405,1,-79,-1,3,0,0
406,1,-77,0,3,0,0
407,1,-79,0,3,0,0
408,1,-76,0,3,0,0
409,1,-76,0,3,0,0
410,1,-78,0,3,0,0
411,1,-70,1,3,0,0
412,1,-30,8,0,4,0
413,1,-25,20,2,4,0
414,1,-39,19,1,5,0
415,1,-26,16,0,4,0
416,1,-62,0,1,0,0
417,1,32,-23,0,0,0
418,1,21,-38,1,1,0
