,Head_orientation_vertical,Head_orientation_horizontal,Mouth_open,Phone_detected,Head_count,Head_angles_v,Head_angles_h,target
229,Normal,Normal,Mouth close,0,1,15,-21,0
230,Normal,Normal,Mouth close,0,1,13,-23,0
231,Normal,Normal,Mouth close,0,1,23,-16,0
232,Normal,Normal,Mouth close,0,1,-27,19,0
233,Normal,Normal,Mouth close,0,1,-26,19,0
234,Normal,Normal,Mouth close,0,1,-30,21,0
235,Normal,Normal,Mouth close,0,1,-13,19,0
236,Head down,Normal,Mouth close,0,1,90,1,0
237,Normal,Normal,Mouth close,0,1,3,-5,0
238,Normal,Normal,Mouth close,0,1,-32,-3,0
239,Normal,Normal,Mouth close,0,1,-38,-6,0
240,Normal,Normal,Mouth close,0,1,-30,-5,0
241,Head down,Normal,Mouth close,0,1,78,0,0
242,Head down,Normal,Mouth close,0,1,52,6,0
243,Head down,Normal,Mouth close,0,1,51,9,0
244,Normal,Normal,Mouth close,0,1,37,8,0
245,Normal,Normal,Mouth close,0,1,41,6,0
246,Normal,Normal,Mouth close,0,1,21,0,0
247,Normal,Normal,Mouth close,0,1,26,6,0
248,Normal,Normal,Mouth close,0,1,42,6,0
249,Normal,Normal,Mouth close,0,1,45,5,0
250,Head down,Normal,Mouth close,0,1,48,3,0
251,Normal,Normal,Mouth close,0,1,43,7,0
252,Normal,Normal,Mouth open,0,1,7,3,0
253,Normal,Normal,Mouth close,0,1,28,4,0
254,Normal,Normal,Mouth close,0,1,45,5,0
255,Normal,Normal,Mouth open,0,1,13,-13,0
256,Normal,Normal,Mouth close,0,1,-25,-7,0
257,Normal,Normal,Mouth close,0,1,-24,-23,0
258,Normal,Normal,Mouth open,0,1,-6,-17,0
259,Normal,Normal,Mouth open,0,1,-15,-13,0
260,Normal,Normal,Mouth close,0,1,-21,-10,0
261,Normal,Normal,Mouth close,0,1,-16,-11,0
262,Normal,Normal,Mouth close,0,1,-25,-11,0
263,Normal,Normal,Mouth close,0,1,-24,-8,0
264,Normal,Normal,Mouth open,0,1,13,-15,0
265,Normal,Normal,Mouth open,0,1,-16,-21,0
266,Normal,Normal,Mouth close,0,1,-16,-24,0
267,Normal,Normal,Mouth open,0,0,-16,-26,0
268,Head down,Normal,Mouth open,53.12016606,0,53,-9,1
269,Normal,Normal,Mouth open,0,1,-11,-20,0
270,Normal,Normal,Mouth close,0,1,-5,-27,0
271,Normal,Normal,Mouth close,53.89661789,1,1,-24,1
272,Normal,Normal,Mouth open,0,1,1,-24,0
273,Normal,Normal,Mouth close,0,1,-19,-19,0
274,Normal,Normal,Mouth open,0,1,36,-8,0
275,Normal,Normal,Mouth open,0,1,-14,-23,0
276,Normal,Normal,Mouth open,0,1,-14,-26,0
277,Normal,Normal,Mouth open,0,1,-4,-23,0
278,Normal,Normal,Mouth open,0,1,-4,-22,0
279,Normal,Normal,Mouth open,50.946486,0,4,-31,1
280,Normal,Normal,Mouth open,0,0,33,-12,0
281,Normal,Normal,Mouth open,0,0,0,-25,0
282,Normal,Normal,Mouth open,51.24953985,0,7,-20,1
283,Normal,Normal,Mouth close,0,0,-12,-18,0
284,Normal,Normal,Mouth close,0,0,2,-17,0
285,Normal,Normal,Mouth close,55.59350252,0,-1,-16,1
286,Normal,Normal,Mouth close,0,0,-3,-18,0
287,Normal,Normal,Mouth close,68.37020516,1,-2,-19,1
288,Normal,Normal,Mouth close,0,1,-23,-12,0
289,Normal,Normal,Mouth close,0,3,-17,-21,1
290,Normal,Normal,Mouth close,67.23060012,2,-43,-8,1
291,Normal,Normal,Mouth close,0,2,-38,-14,0
292,Head up,Normal,Mouth close,60.58418155,2,-87,1,1
293,Head up,Normal,Mouth close,0,2,-66,-5,1
294,Normal,Normal,Mouth close,74.66615438,2,-32,-10,1
295,Head up,Normal,Mouth close,0,1,-63,-4,0
296,Head up,Normal,Mouth close,51.4331162,2,-71,0,1
297,Head up,Normal,Mouth close,0,0,-65,0,1
298,Head up,Normal,Mouth close,58.07378888,1,-71,3,1
299,Head up,Normal,Mouth close,0,0,-78,6,1
300,Normal,Normal,Mouth close,0,0,-2,-29,1
301,Normal,Normal,Mouth close,56.81807399,0,5,-21,1
302,Head up,Normal,Mouth close,0,0,-50,-1,1
303,Normal,Normal,Mouth close,0,0,-42,-1,1
304,Head up,Normal,Mouth close,60.53906083,1,-53,-2,1
305,Head up,Normal,Mouth close,0,1,-60,0,0
306,Head up,Normal,Mouth close,48.48407507,1,-78,2,0
307,Head up,Normal,Mouth close,0,1,-74,1,0
308,Head up,Normal,Mouth close,0,2,-58,-7,1
309,Normal,Normal,Mouth open,0,1,-12,-33,0
310,Head up,Normal,Mouth close,0,1,-59,5,0
311,Normal,Normal,Mouth open,0,1,-7,42,0
312,Normal,Normal,Mouth close,0,1,-17,40,0
313,Normal,Normal,Mouth close,0,1,-19,39,0
314,Normal,Normal,Mouth close,0,1,-17,40,0
315,Normal,Normal,Mouth close,0,2,-17,40,0
