,Head_orientation_vertical,Head_orientation_horizontal,Mouth_open,Phone_detected,Head_count,Head_angles_v,Head_angles_h
195, , , , ,1,10,-29
196, , , , ,1,10,-27
197, , , , ,1,11,-27
198, , , , ,1,10,-26
199, , , , ,1,11,-24
200, , , , ,1,10,-24
201, , , , ,1,10,-24
202, , , , ,1,10,-25
203, , , , ,1,9,-27
204, , , , ,1,10,-23
205, , , , ,1,9,-28
206, , , , ,1,9,-27
207, , , , ,1,10,-27
208, , , , ,1,9,-28
209, , , , ,1,9,-29
210, , , , ,1,12,-28
211, , , , ,1,12,-27
212, , , , ,1,13,-26
213, , , , ,1,12,-26
214, , , , ,1,13,-26
215, , , , ,1,12,-29
216, , , , ,1,11,-30
217, , , , ,1,11,-30
218, , , , ,1,10,-30
219, , , , ,1,11,-30
220, , , , ,1,10,-31
221, , , , ,1,11,-30
222, , , , ,1,11,-30
223, , , , ,1,12,-30
224, , , , ,1,11,-30
225, , , , ,1,12,-29
226, , , , ,1,12,-31
227, , , , ,1,11,-29
228, , , , ,1,11,-28
229, , , , ,1,12,-27
230, , , , ,1,12,-28
231, , , , ,1,13,-27
232, , , , ,1,13,-27
233, , , , ,1,12,-29
234, , , , ,1,11,-30
235, , , , ,1,12,-29
236, , , , ,1,11,-28
237, , , , ,1,12,-28
238, , , , ,1,11,-28
239, , , , ,1,11,-31
240, , , , ,1,11,-31
241, , , , ,1,10,-32
242, , , , ,1,11,-28
243, , , , ,1,10,-28
244, , , , ,1,11,-29
245, , , , ,1,11,-28
246, , , , ,1,10,-29
247, , , , ,1,10,-29
248, , , , ,1,11,-28
249, , , , ,1,11,-29
250, , , , ,1,10,-29
251, , , , ,1,10,-27
252, , , , ,1,10,-28
253, , , , ,1,11,-29
254, , , , ,1,10,-27
255, , , , ,1,10,-27
256, , , , ,1,11,-26
257, , , , ,1,10,-28
258, , , , ,1,10,-27
259, , , , ,1,10,-29
260, , , , ,1,10,-28
261, , , , ,1,11,-27
262, , , , ,1,9,-27
263, , , , ,1,9,-28
264, , , , ,1,5,-24
265, , , , ,1,8,-28
266, , , , ,1,7,-27
267, , , , ,1,8,-28
268, , , , ,1,7,-28
269, , , , ,1,8,-31
270, , ,Mouth open, ,1,3,-22
271, , ,Mouth open, ,1,2,-26
272, , , , ,1,8,-31
273, , , , ,1,11,-28
274, , , , ,1,9,-27
275, , , , ,1,9,-22
276, , ,Mouth open, ,1,8,-21
277, , , , ,1,9,-22
278, , , , ,1,8,-25
279, , , , ,1,9,-26
280, , , , ,1,8,-22
281, , , , ,1,7,-22
282, , ,Mouth open, ,1,6,-21
283, , ,Mouth open, ,1,7,-19
284, , ,Mouth open, ,1,6,-24
285, , , , ,1,7,-21
286, , ,Mouth open, ,1,6,-19
287, , ,Mouth open, ,1,8,-20
288, , ,Mouth open, ,1,7,-19
289, , , , ,1,7,-21
290, , ,Mouth open, ,1,8,-20
291, , ,Mouth open, ,1,6,-21
292, , , , ,1,8,-21
293, , ,Mouth open, ,1,6,-20
294, , , , ,1,8,-24
295, , ,Mouth open, ,1,9,-21
296, , , , ,1,8,-23
297, , , , ,1,7,-24
298, , ,Mouth open, ,1,7,-20
299, , , , ,1,7,-22
300, , , , ,1,9,-24
301, , , , ,1,11,-25
302, , , , ,1,8,-26
303, , , , ,1,7,-24
304, , , , ,1,5,-22
305, , , , ,1,7,-24
306, , , , ,1,7,-23
307, , ,Mouth open, ,1,6,-25
308, , , , ,1,7,-23
309, , , , ,1,6,-23
310, , , , ,1,7,-24
311, , , , ,1,8,-25
312, , , , ,1,8,-25
313, , ,Mouth open, ,1,7,-24
314, , , , ,1,7,-23
315, , , , ,1,7,-23
316, , , , ,1,7,-24
317, , , , ,1,6,-24
318, , , , ,1,7,-24
319, , , , ,1,7,-24
320, , , , ,1,8,-24
321, , , , ,1,7,-25
322, , , , ,1,7,-26
323, , , , ,1,8,-24
324, , , , ,1,7,-25
325, , , , ,1,8,-25
326, , , , ,1,8,-25
327, , , , ,1,7,-24
328, , , , ,1,6,-25
329, , , , ,1,7,-25
330, , , , ,1,7,-26
331, , , , ,1,7,-26
332, , , , ,1,7,-25
333, , , , ,1,7,-25
334, , , , ,1,7,-26
335, , , , ,1,8,-27
336, , , , ,1,8,-25
337, , , , ,1,8,-26
338, , , , ,1,8,-26
339, , , , ,1,7,-25
340, , , , ,1,8,-27
341, , , , ,1,7,-26
342, , , , ,1,8,-25
343, , , , ,1,8,-25
344, , , , ,1,7,-26
345, , , , ,1,8,-27
346, , , , ,1,8,-26
347, , , , ,1,7,-26
348, , , , ,1,8,-25
349, , , , ,1,9,-26
350, , , , ,1,8,-25
351, , , , ,1,8,-25
352, , , , ,1,8,-27
353, , , , ,1,9,-27
354, , , , ,1,9,-26
355, , , , ,1,8,-26
356, , , , ,1,9,-26
357, , , , ,1,8,-27
358, , , , ,1,8,-28
