,no_faces,Angle1,Angle2,cnt_inner,cnt_outer,Phone_detected
182,1,22,-22,5,3,0
183,1,23,-22,5,3,0
184,1,23,-22,5,3,0
185,1,22,-22,5,0,0
186,1,32,-15,5,3,0
187,1,18,-24,0,0,0
188,1,23,-22,5,3,0
189,1,23,-20,5,3,0
190,1,31,-14,5,3,0
191,1,23,-19,5,3,0
192,1,23,-20,1,0,0
193,1,24,-19,3,0,0
194,1,16,-26,5,3,0
195,1,28,-13,5,3,0
196,1,12,-29,5,3,0
197,1,22,-20,5,3,0
198,1,22,-20,5,3,0
199,1,23,-19,5,3,0
200,1,49,-10,5,3,0
201,1,14,-29,5,3,0
202,1,15,-25,5,3,0
203,1,8,-32,5,3,0
204,1,3,-33,3,0,0
205,1,1,-29,5,3,0
206,1,-8,-20,5,3,0
207,1,-4,-46,5,3,0
208,1,-15,-40,0,2,0
209,1,-3,-25,0,0,0
210,1,0,-20,0,2,0
211,1,-11,-46,0,3,0
212,1,-25,-49,5,3,0
213,1,-28,-54,0,0,0
214,1,-46,-38,0,0,0
215,1,-22,-46,0,3,0
216,1,-8,-43,5,3,0
217,1,-51,-38,0,0,0
218,1,65,9,0,0,0
219,1,7,46,0,0,0
220,1,-3,40,0,0,0
221,1,-5,44,0,3,0
222,0,0,0,0,0,0
223,0,0,0,0,0,0
224,0,0,0,0,0,0
225,0,0,0,0,0,0
226,0,0,0,0,0,0
227,0,0,0,0,0,0
228,0,0,0,0,0,0
229,0,0,0,0,0,0
230,0,0,0,0,0,0
231,0,0,0,0,0,0
232,1,-16,45,1,1,0
233,1,-6,40,0,0,0
234,1,2,-23,0,0,0
235,1,17,44,0,0,0
236,1,4,54,0,0,0
237,1,13,-28,5,3,0
238,1,7,-34,5,3,0
239,1,7,-38,5,3,0
240,1,10,-34,5,3,0
241,1,9,-32,0,3,0
242,1,13,-29,0,0,0
243,1,17,-26,5,3,0
244,1,30,-19,5,3,0
245,1,9,-36,5,3,0
246,1,15,-29,5,3,0
247,1,11,-32,3,3,0
248,1,6,-37,0,0,0
249,1,15,-30,5,3,0
250,1,20,-27,5,3,0
251,1,10,-36,3,2,0
252,1,14,-34,5,3,0
253,1,7,-36,0,0,0
254,1,9,-37,0,0,0
255,1,13,-40,5,3,0
256,1,15,-35,5,3,0
257,1,18,-34,3,3,0
258,1,15,-35,0,0,0
259,1,17,-34,5,3,0
260,1,22,-27,2,3,0
261,1,25,-20,5,3,0
262,1,16,-22,5,3,0
263,1,10,-32,5,3,0
264,1,12,-28,5,3,0
265,1,9,-28,5,3,0
266,1,11,-32,5,3,0
267,1,10,-27,5,3,0
268,1,11,-20,5,3,0
269,1,-18,28,5,0,0
270,1,-26,23,5,0,46.54477239
271,1,-33,16,5,0,0
272,1,-41,14,0,0,0
273,1,-43,10,4,0,0
274,1,-35,14,4,0,0
275,1,-30,14,5,3,0
276,1,1,-15,5,3,0
277,2,0,0,0,0,0
278,2,0,0,0,0,0
279,1,16,-19,5,3,0
280,1,14,-22,5,3,0
281,2,0,0,0,0,0
282,2,0,0,0,0,0
283,2,0,0,0,0,0
284,2,0,0,0,0,0
285,1,17,-18,5,3,0
286,1,25,-9,5,0,0
287,1,-23,15,5,0,0
288,1,-27,22,5,1,0
289,1,-27,22,5,0,0
290,1,-37,16,2,0,0
291,1,-34,11,4,0,0
292,1,-36,10,2,0,0
293,1,-31,19,5,0,0
294,1,-28,21,5,3,0
295,1,-36,13,5,3,0
296,1,-37,9,5,3,0
297,1,-35,16,4,0,0
298,1,-34,16,4,0,0
299,1,-32,18,5,3,0
300,1,-42,6,5,3,0
301,1,-32,18,5,1,0
302,1,11,-12,5,3,0
303,1,15,-20,0,0,0
304,1,19,-20,5,0,0
305,2,0,0,0,0,0
306,2,0,0,0,0,0
307,2,0,0,0,0,0
308,2,0,0,0,0,0
309,1,23,-17,5,3,0
310,1,26,-3,5,3,0
311,1,-21,13,5,0,0
312,1,-25,24,5,2,0
313,1,-27,21,5,3,0
314,1,-32,18,5,0,0
315,1,-29,19,5,0,0
316,1,-31,18,5,3,0
317,1,-32,17,5,3,0
318,1,-35,16,5,3,0
319,1,-41,9,5,3,0
320,1,-39,11,3,0,45.7275629
321,1,-39,13,3,0,0
322,1,-32,18,5,3,0
323,1,14,-22,5,3,0
324,1,19,-18,5,3,0
325,1,14,-23,4,0,0
326,1,23,-17,5,3,0
327,1,25,-9,5,3,0
328,1,17,-24,5,2,0
329,1,11,-30,5,3,0
330,1,14,-27,5,3,0
331,1,20,-22,5,3,0
332,1,24,-21,5,3,0
333,1,38,-14,5,3,0
334,1,14,-29,5,3,0
335,1,23,-20,5,3,0
336,1,21,-22,3,3,0
337,1,16,-27,5,3,0
338,1,25,-20,5,3,0
339,1,25,-17,5,3,0
340,1,17,-21,5,3,0
341,2,0,0,0,0,0
342,2,0,0,0,0,0
343,2,0,0,0,0,0
344,2,0,0,0,0,0
345,2,0,0,0,0,0
346,2,0,0,0,0,0
347,2,0,0,0,0,0
348,2,0,0,0,0,0
349,1,50,-8,5,3,0
350,1,17,-21,5,3,0
351,1,14,-27,5,3,0
352,1,20,-23,5,3,0
353,1,12,-25,5,3,0
354,1,13,-27,5,3,0
355,1,10,-31,5,3,0
356,1,9,-32,5,3,0
357,1,21,-22,5,3,0
358,1,28,-14,5,3,0
359,1,17,-18,5,1,0
360,1,22,-9,4,0,0
361,1,23,-16,5,3,0
362,1,20,-21,5,3,0
