,no_faces,Angle1,Angle2,cnt_inner,cnt_outer,Phone_detected
0,1,17,-26,0,0,0.0
1,1,15,-27,0,0,0.0
2,1,15,-26,0,0,0.0
3,1,16,-28,0,0,0.0
4,1,16,-26,0,0,0.0
5,1,16,-27,0,0,0.0
6,1,15,-28,0,0,0.0
7,1,15,-27,0,0,0.0
8,1,15,-26,0,0,0.0
9,1,15,-27,0,0,0.0
10,1,15,-28,0,0,0.0
11,1,16,-27,0,0,0.0
12,1,16,-27,0,0,0.0
13,1,17,-27,0,0,0.0
14,1,15,-27,0,0,0.0
15,1,17,-28,0,0,0.0
16,1,8,-36,0,0,0.0
17,1,12,-40,1,1,0.0
18,1,12,-42,0,0,0.0
19,1,16,-41,0,0,0.0
20,1,15,-43,0,0,0.0
21,1,16,-42,0,0,0.0
22,1,11,-46,0,0,0.0
23,1,14,-45,2,1,0.0
24,1,16,-42,3,3,0.0
25,1,15,-43,4,3,0.0
26,1,11,-48,4,3,0.0
27,1,8,-51,3,3,0.0
28,1,8,-49,3,3,0.0
29,1,12,-48,5,3,0.0
30,1,13,-47,4,3,0.0
31,1,10,-50,5,3,0.0
32,1,10,-49,5,3,0.0
33,1,12,-48,5,3,0.0
34,1,15,-47,5,3,0.0
35,1,15,-46,5,3,0.0
36,1,12,-49,5,3,0.0
37,1,13,-47,5,3,0.0
38,1,14,-47,5,3,0.0
39,1,12,-49,5,3,0.0
40,1,11,-49,3,3,0.0
41,1,11,-50,4,3,0.0
42,1,12,-48,5,3,0.0
43,1,10,-50,5,3,0.0
44,1,10,-50,5,3,0.0
45,1,10,-50,4,3,0.0
46,1,12,-48,4,3,0.0
47,1,12,-47,4,3,0.0
48,1,10,-50,5,3,0.0
49,1,12,-47,5,3,0.0
50,1,11,-48,5,3,0.0
51,1,13,-46,5,3,0.0
52,1,10,-49,5,3,0.0
53,1,9,-48,5,3,0.0
54,1,11,-47,5,3,0.0
55,1,10,-49,5,3,0.0
56,1,11,-48,5,3,0.0
57,1,11,-49,5,3,0.0
58,1,11,-48,5,3,0.0
59,1,13,-47,5,3,0.0
60,1,12,-46,5,3,0.0
61,1,9,-49,5,3,0.0
62,1,10,-49,5,3,0.0
63,1,10,-49,3,3,0.0
64,1,11,-48,5,3,0.0
65,1,8,-49,5,3,0.0
66,1,11,-48,5,3,0.0
67,1,9,-50,3,3,0.0
68,1,13,-46,5,3,0.0
69,1,12,-49,5,3,0.0
70,1,11,-49,5,3,0.0
71,1,11,-49,5,3,0.0
72,1,10,-50,3,3,0.0
73,1,11,-46,5,3,0.0
74,1,12,-46,5,3,0.0
75,1,14,-45,5,3,0.0
76,1,15,-44,5,3,0.0
77,1,12,-46,5,3,0.0
78,1,13,-46,5,3,0.0
79,1,11,-46,5,3,0.0
80,1,10,-49,5,3,0.0
81,1,11,-47,5,3,0.0
82,1,13,-47,5,3,0.0
83,1,15,-45,5,3,0.0
84,1,10,-49,5,3,0.0
85,1,8,-50,5,3,0.0
86,1,9,-48,5,3,0.0
87,1,13,-46,5,3,0.0
88,1,13,-47,5,3,0.0
89,1,15,-45,4,3,0.0
90,1,11,-48,5,3,0.0
91,1,13,-47,5,3,0.0
92,1,13,-46,5,3,0.0
93,1,14,-46,5,3,0.0
94,1,13,-47,5,3,0.0
95,1,12,-47,4,3,0.0
96,1,11,-48,5,3,0.0
97,1,13,-47,3,3,0.0
98,1,13,-47,4,3,0.0
99,1,14,-47,4,3,0.0
100,1,13,-48,5,3,0.0
101,1,14,-48,5,3,0.0
102,1,15,-45,5,3,0.0
103,1,12,-46,5,3,0.0
104,1,15,-43,3,3,0.0
105,1,15,-43,5,3,0.0
106,1,16,-43,5,3,0.0
107,1,12,-49,4,3,0.0
108,1,18,-43,3,3,0.0
109,1,16,-45,0,3,0.0
